track_id,target_id,method_id,metric_id,score
0,0,0,0,12.694320000000001
0,0,0,1,8.552915
0,0,0,2,8.01166
0,0,0,3,21.421419999999998
0,4,0,0,17.536575
0,4,0,1,4.92265
0,4,0,2,3.665515
0,4,0,3,7.384455
1,0,0,0,9.012535
1,0,0,1,3.51911
1,0,0,2,3.81526
1,0,0,3,10.283725
1,4,0,0,11.895705
1,4,0,1,2.967885
1,4,0,2,2.175825
1,4,0,3,5.306839999999999
2,0,0,0,8.271905
2,0,0,1,3.649515
2,0,0,2,3.7614850000000004
2,0,0,3,13.60665
2,4,0,0,12.786950000000001
2,4,0,1,3.53892
2,4,0,2,1.555825
2,4,0,3,4.01545
3,0,0,0,16.230385
3,0,0,1,11.951965000000001
3,0,0,2,11.567065
3,0,0,3,16.368605000000002
3,4,0,0,8.69983
3,4,0,1,2.64229
3,4,0,2,3.10391
3,4,0,3,5.0327649999999995
4,0,0,0,8.362745
4,0,0,1,4.79164
4,0,0,2,4.88455
4,0,0,3,18.415284999999997
4,4,0,0,15.187775
4,4,0,1,2.78033
4,4,0,2,-1.04301
4,4,0,3,1.55356
5,0,0,0,8.960795000000001
5,0,0,1,5.96105
5,0,0,2,6.124835
5,0,0,3,17.837285
5,4,0,0,14.768035000000001
5,4,0,1,3.4271700000000003
5,4,0,2,1.85632
5,4,0,3,3.79701
6,0,0,0,5.24186
6,0,0,1,3.347995
6,0,0,2,3.7959899999999998
6,0,0,3,17.95424
6,4,0,0,13.639575
6,4,0,1,3.37391
6,4,0,2,-4.90348
6,4,0,3,-5.52955
7,0,0,0,8.83681
7,0,0,1,4.9187449999999995
7,0,0,2,4.542479999999999
7,0,0,3,17.125500000000002
7,4,0,0,13.689345
7,4,0,1,2.03142
7,4,0,2,-1.824135
7,4,0,3,0.727425
8,0,0,0,9.305525
8,0,0,1,7.592885000000001
8,0,0,2,6.468155
8,0,0,3,18.42276
8,4,0,0,11.316645000000001
8,4,0,1,1.80742
8,4,0,2,-1.703855
8,4,0,3,-1.375795
9,0,0,0,6.45324
9,0,0,1,1.63181
9,0,0,2,2.52488
9,0,0,3,11.38296
9,4,0,0,13.33563
9,4,0,1,3.241575
9,4,0,2,0.400945
9,4,0,3,1.9130449999999999
10,0,0,0,12.23917
10,0,0,1,7.24287
10,0,0,2,6.741524999999999
10,0,0,3,14.68095
10,4,0,0,13.098144999999999
10,4,0,1,3.07666
10,4,0,2,2.913185
10,4,0,3,6.856535
11,0,0,0,7.11699
11,0,0,1,2.48647
11,0,0,2,3.89255
11,0,0,3,13.69779
11,4,0,0,14.3649
11,4,0,1,4.06743
11,4,0,2,1.35609
11,4,0,3,3.55105
12,0,0,0,9.00652
12,0,0,1,5.41304
12,0,0,2,4.7927800000000005
12,0,0,3,13.57446
12,4,0,0,12.205155
12,4,0,1,4.3654150000000005
12,4,0,2,2.8462899999999998
12,4,0,3,5.3339
13,0,0,0,6.136324999999999
13,0,0,1,3.74001
13,0,0,2,3.84839
